FSCL_YR,MINC,MINE,PADN,DEPT_EN_DESC,ROBJ_CD,ROBJ_EN_NM,PRJCT_EN_DESC,TOT_CY_XPND_AMT,AGRG_PYMT_AMT
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Altruistic Informatics Consulting Inc Ottawa Ont,0,1032132
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,42,Engineering and Architectural Services,Al Langman Construction (1998) Inc Orillia Ont,0,105822
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,42,Engineering and Architectural Services,Golder Associates Ltd Calgary Alta,0,190400
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,42,Engineering and Architectural Services,Lidar Services International Inc Calgary Alta,0,112740
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,42,Engineering and Architectural Services,Nicolini Construction Ltd Ottawa Ont,0,306622
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,42,Engineering and Architectural Services,Public Works and Government Services Canada Gatineau Que,0,9696753
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,42,Engineering and Architectural Services,Shouldice Mechanical Inc Ottawa Ont,0,196698
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,42,Engineering and Architectural Services,"Service payments under $100,000 (192 payees)",0,2004874
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,45,Health and Welfare Services,,25115,0
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,42,Engineering and Architectural Services,AC Mechanical Refrigeration Ltd Ottawa Ont,0,162209
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,42,Engineering and Architectural Services,,12879258,0
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,42,Engineering and Architectural Services,4DM Inc Toronto Ont,0,103140
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,40,Business Services,"Service payments under $100,000 (896 payees)",0,3404813
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,Simplex Industries Inc Ottawa Ont,0,140612
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,SOPFIM Qu̩bec Que,0,210777
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,RapidEye AG Berlin Germany,0,221962
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,Rideau Recognition Solutions Inc Montr̩al Que,0,121075
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,Altis Human Resources Inc Ottawa Ont,0,293841
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,Canada Revenue Agency Ottawa Ont,0,1983012
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,Canadian Food Inspection Agency Ottawa Ont,0,431109
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,Foreign Affairs and International Trade Canada Ottawa Ont,0,1422140
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,Canadian Linen and Uniform Service Toronto Ont,0,107612
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,Contract Community Inc Dunrobin Ont,0,311625
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,Critical Path Group Calgary Alta,0,124939
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,DMC International Imaging Ltd Surrey Research Park United Kingdom,0,333626
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,Public Works and Government Services Canada Gatineau Que,0,6935827
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,Golder Associates Ltd Calgary Alta,0,264147
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,Industry Canada Ottawa Ont,0,218993
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,Michael Wager Consulting Inc Ottawa Ont,0,758279
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,MSC Maplesoft Consulting Inc Ottawa Ont,0,343107
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,National Research Council of Canada Ottawa Ont,0,199880
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,One Two Tree Service Ltd Morden Man,0,108655
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,Ontario Infrastructure and Lands Corporation Toronto Ont,0,100450
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,89,Other Services,Public Health Agency of Canada Ottawa Ont,0,102000
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,43,Scientific and Research Services,Canola Council of Canada Winnipeg Man,0,645105
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,43,Scientific and Research Services,Ference Weicker & Company Vancouver BC,0,107512
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Interis Consulting Inc Ottawa Ont,0,245724
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,IT/NET Ottawa Inc Ottawa Ont,0,1395426
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Leverage Technology Resources Inc Ottawa Ont,0,114400
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,43,Scientific and Research Services,,15451251,0
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,46,Protection Services,,3036194,0
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,46,Protection Services,Canadian Corps of Commissionaires Ottawa Ont,0,2741344
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,46,Protection Services,Public Works and Government Services Canada Gatineau Que,0,189665
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,46,Protection Services,"Service payments under $100,000 (39 payees)",0,105185
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,48,Management Consulting,Homewood Human Solutions Vancouver BC,0,340219
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,48,Management Consulting,Nielsen Company of Canada Toronto Ont,0,114500
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,48,Management Consulting,Public Works and Government Services Canada Gatineau Que,0,527208
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,48,Management Consulting,"Service payments under $100,000 (169 payees)",0,2338836
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Hewlett-Packard Company Winnipeg Man,0,544604
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Holonics Inc Gatineau Que,0,560819
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,I4C Consulting Inc Kanata Ont,0,502774
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,IBM Canada Ltd Markham Ont,0,8395186
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,48,Management Consulting,Goss Gilroy Inc Ottawa Ont,0,179663
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,48,Management Consulting,Holonics Inc Gatineau Que,0,162378
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,48,Management Consulting,Calian Ltd Ottawa Ont,0,180285
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,48,Management Consulting,Coradix Technology Consulting Ottawa Ont,0,121380
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,48,Management Consulting,Deloitte & Touche LLP Toronto Ont,0,509700
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,48,Management Consulting,FoxRed Consulting Inc Manotick Ont,0,172522
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,87,Interpretation and Translation Services,Soci̩t̩ Gamma Inc Ottawa Ont,0,179664
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,87,Interpretation and Translation Services,Tessier Translations Corporation Gatineau Que,0,154574
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,87,Interpretation and Translation Services,"Service payments under $100,000 (21 payees)",0,236402
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,41,Legal Services,,3959134,0
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,41,Legal Services,Justice Canada Ottawa Ont,0,3314476
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,41,Legal Services,Gowling Lafleur Henderson LLP Ottawa Ont,0,112888
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,41,Legal Services,"Service payments under $100,000 (143 payees)",0,531770
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,48,Management Consulting,,4646691,0
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,MSC Maplesoft Consulting Inc Ottawa Ont,0,597364
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,PPI Consulting Ltd Ottawa Ont,0,370119
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Public Works and Government Services Canada Gatineau Que,0,253846
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Shared Services Canada Ottawa Ont,0,294600
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Sierra Systems Group Inc Vancouver BC,0,523233
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Statel Capital Technology Partners Inc Ottawa Ont,0,164423
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Systematix Solutions Inc Ottawa Ont,0,742540
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Systemscope Inc Ottawa Ont,0,1227950
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,The VCAN Group Inc Ottawa Ont,0,111929
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,TRM Technologies Inc Ottawa Ont,0,116656
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Veritaaq Technology House Inc Ottawa Ont,0,1112512
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,"Service payments under $100,000 (57 payees)",0,842432
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,87,Interpretation and Translation Services,,4356830,0
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,87,Interpretation and Translation Services,CLS Lexi-Tech Ltd Ottawa Ont,0,210320
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,87,Interpretation and Translation Services,Public Service Commission Ottawa Ont,0,100375
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,87,Interpretation and Translation Services,Public Works and Government Services Canada Gatineau Que,0,3475495
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,43,Scientific and Research Services,ICMS Inc Portage La Prairie Man,0,283569
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,43,Scientific and Research Services,Maxxam Analytics International Corp Mississauga Ont,0,352370
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,43,Scientific and Research Services,Natural Sciences and Engineering Research Council of Canada Ottawa Ont,0,127867
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,86,Temporary Help Services,Kelly Services (Canada) Ltd Toronto Ont,0,101355
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,86,Temporary Help Services,QMR Staffing Solutions Inc Ottawa Ont,0,118329
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,86,Temporary Help Services,"Service payments under $100,000 (20 payees)",0,428144
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,44,Training and Educational Services,,4660569,0
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Donna Cona Inc Ottawa Ont,0,2529506
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Equasion Business Ottawa Ont,0,607790
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Excel Ottawa Ont,0,345842
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,FoxRed Consulting Inc Manotick Ont,0,122802
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Fujitsu Consulting (Canada) Inc Ottawa Ont,0,495440
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,Gartner Inc Ottawa Ont,0,459282
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,47,Informatics Services,GSI International Consulting Group Inc Toronto Ont,0,192102
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,86,Temporary Help Services,Altis Human Resources Inc Ottawa Ont,0,188220
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,86,Temporary Help Services,Foreign Affairs and International Trade Canada Ottawa Ont,0,118779
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,86,Temporary Help Services,,954827,0
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,82,Special Fees and Services,,984145,0
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,82,Special Fees and Services,Foreign Affairs and International Trade Canada Ottawa Ont,0,103115
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,82,Special Fees and Services,"Service payments under $100,000 (992 payees)",0,881030
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,43,Scientific and Research Services,University of Guelph Guelph Ont,0,707304
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,43,Scientific and Research Services,University of Manitoba Winnipeg Man,0,258587
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,43,Scientific and Research Services,University of New Brunswick Fredericton NB,0,111387
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,43,Scientific and Research Services,University of Saskatchewan Saskatoon Sask,0,138237
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,43,Scientific and Research Services,"Service payments under $100,000 (695 payees)",0,11339139
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,43,Scientific and Research Services,St Boniface General Hospital Winnipeg Man,0,337549
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,43,Scientific and Research Services,University of British Columbia Vancouver BC,0,172888
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,43,Scientific and Research Services,University of Alberta Edmonton Alta,0,420121
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,43,Scientific and Research Services,Public Works and Government Services Canada Gatineau Que,0,189244
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,43,Scientific and Research Services,Plant & Food Research Ltd Auckland New-Zealand,0,156372
2012/2013,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,43,Scientific and Research Services,Ontario Apple Growers Vineland Station Ont,0,104000
2012/2013,7,Finance,2,Auditor General,40,Business Services,Deloitte & Touche LLP Ottawa Ont,0,110528
2012/2013,7,Finance,2,Auditor General,40,Business Services,American Express Canada Inc Markham Ont,0,105953
2012/2013,7,Finance,2,Auditor General,40,Business Services,,1397325,0
2012/2013,7,Finance,2,Auditor General,40,Business Services,Ernst & Young LLP Toronto Ont,0,105621
2012/2013,7,Finance,2,Auditor General,40,Business Services,KPMG LLP Toronto Ont,0,260251
2012/2013,7,Finance,2,Auditor General,40,Business Services,"Service payments under $100,000 (143 payees)",0,814972
2012/2013,7,Finance,2,Auditor General,47,Informatics Services,RPDATA Solutions Inc Whitby Ont,0,102320
2012/2013,7,Finance,2,Auditor General,45,Health and Welfare Services,"Service payments under $100,000 (3 payees)",0,8998
2012/2013,7,Finance,2,Auditor General,45,Health and Welfare Services,,8998,0
2012/2013,7,Finance,2,Auditor General,47,Informatics Services,"Service payments under $100,000 (16 payees)",0,229151
2012/2013,7,Finance,2,Auditor General,47,Informatics Services,,331471,0
2012/2013,7,Finance,2,Auditor General,87,Interpretation and Translation Services,Public Works and Goverment Services Canada Gatineau Que,0,842867
2012/2013,7,Finance,2,Auditor General,44,Training and Educational Services,Centre de langues internationales Charpentier Ottawa Ont,0,134315
2012/2013,7,Finance,2,Auditor General,44,Training and Educational Services,"Service payments under $100,000 (132 payees)",0,633952
2012/2013,7,Finance,2,Auditor General,44,Training and Educational Services,,768267,0
2012/2013,7,Finance,2,Auditor General,82,Special Fees and Services,"Service payments under $100,000 (214 payees)",0,261812
2012/2013,7,Finance,2,Auditor General,82,Special Fees and Services,,986841,0
2012/2013,7,Finance,2,Auditor General,86,Temporary Help Services,"Service payments under $100,000 (1 Payee)",0,4900
2012/2013,7,Finance,2,Auditor General,86,Temporary Help Services,,4900,0
2012/2013,7,Finance,2,Auditor General,82,Special Fees and Services,Ordre des comptables professionnels agr̩̩s du Qu̩bec Montr̩al Que,0,108646
2012/2013,7,Finance,2,Auditor General,82,Special Fees and Services,Canadian Comprehensive Auditing Foundation Ottawa Ont,0,464900
2012/2013,7,Finance,2,Auditor General,82,Special Fees and Services,Institute of Chartered Accountants of Ontario Toronto Ont,0,151483
2012/2013,7,Finance,2,Auditor General,48,Management Consulting,"Service payments under $100,000 (14 payees)",0,244732
2012/2013,7,Finance,2,Auditor General,41,Legal Services,"Service payments under $100,000 (2 payees)",0,31482
2012/2013,7,Finance,2,Auditor General,41,Legal Services,,31482,0
2012/2013,7,Finance,2,Auditor General,48,Management Consulting,PricewaterhouseCoopers LLP Toronto Ont,0,122072
2012/2013,7,Finance,2,Auditor General,87,Interpretation and Translation Services,,842867,0
2012/2013,7,Finance,2,Auditor General,46,Protection Services,,141128,0
2012/2013,7,Finance,2,Auditor General,46,Protection Services,Industry Canada Ottawa Ont,0,133602
2012/2013,7,Finance,2,Auditor General,46,Protection Services,"Service payments under 100,000 $ (2 payees)",0,7526
2012/2013,7,Finance,2,Auditor General,48,Management Consulting,,366804,0
2012/2013,7,Finance,2,Auditor General,89,Other Services,"Service payments under $100,000 (34 payees)",0,69398
2012/2013,7,Finance,2,Auditor General,89,Other Services,,69398,0
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,40,Business Services,PriceWaterhouseCoopers Ottawa Ont,0,155575
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,40,Business Services,Orbis Risk Consulting Ottawa Ont,0,237782
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,40,Business Services,Collins Barrow Edmonton LLP Edmonton Alta,0,142137
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,40,Business Services,Deloitte & Touche Ottawa Ont,0,143862
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,40,Business Services,Ernst & Young LLP Ottawa Ont,0,656763
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,40,Business Services,Lannick Contract Solutions Inc Ottawa Ont,0,120560
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,40,Business Services,,3076638,0
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,40,Business Services,Welch & Company LLP Ottawa Ont,0,522311
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,40,Business Services,"Service payments under $100,000 (34 payees)",0,558607
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,40,Business Services,Samson & Associates Experts-conseils/Experts comptables Inc Gatineau Que,0,400317
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,40,Business Services,QMR Consulting & Professional Staffing Ottawa Ont,0,138724
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,45,Health and Welfare Services,Human Resources and Skills Development Canada Gatineau Que,0,141932
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,46,Protection Services,Public Works and Government Services Canada Gatineau Que,0,170045
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,89,Other Services,QMR Consulting & Professional Staffing Ottawa Ont,0,204798
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,89,Other Services,"Service payments under $100,000 (167 payees)",0,2290217
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,89,Other Services,,2866425,0
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,46,Protection Services,Canadian Corps of Commissionaires Ottawa Ont,0,425162
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,46,Protection Services,,595207,0
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,82,Special Fees and Services,"Service payments under $100,000 (71 payees)",0,334331
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,82,Special Fees and Services,,334331,0
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,86,Temporary Help Services,Altis Human Resources Inc Ottawa Ont,0,251115
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,86,Temporary Help Services,Excel Human Resources Inc Ottawa Ont,0,331381
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,86,Temporary Help Services,"Service payments under $100,000 (16 payees)",0,421765
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,86,Temporary Help Services,Spirit Staffing Ottawa Ont,0,108419
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,86,Temporary Help Services,,1112680,0
2012/2013,9,Foreign Affairs and International Trade,3,Canadian International Development Agency,44,Training and Educational Services,Canada School of Public Service Ottawa Ont,0,343024
