MINE,DEPT_EN_DESC,RCPNT_CLS_EN_DESC,AGRG_PYMT_AMT,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,1325259,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,2766322,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,100000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,184612,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,442289,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,630710,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,362234,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to municipalities,130184,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to international organizations,317000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to international organizations,260233,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to international organizations,304441,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to international organizations,185000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to international organizations,120146,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to international organizations,25000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to universities,304970,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to universities,675534,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to universities,596475,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to universities,301801,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to universities,546492,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to universities,712150,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to universities,638263,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to universities,1587831,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to universities,787226,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to universities,1235306,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Agricultural Subsidies,119500,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,100000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,1544057,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,819325,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,964152,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,2959627,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,1500000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,9609313,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,1561933,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,168578,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,1508027,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,1717733,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,588500,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,470000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,852750,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,111223,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,2608904,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,165455,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,451631,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,252708,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,576992,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,2321597,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,1101444,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,496138,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,155452,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,1921829,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,129182,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,100000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,1259873,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,118981,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,440449,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,3897206,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,390815,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,105793,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,300000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,2359889,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,156530,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other subsidies to industry,255321,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other subsidies to industry,473888,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other subsidies to industry,0,-11233991,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,500000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,307124,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,7507145,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,2220952,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,3447385,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,753874,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,130000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,157288,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,166990,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,375234,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,187451,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,189309,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,906523,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,245315,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,1318350,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,378589,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,111940,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,333000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,259998,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,1326737,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,129999,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,242250,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,334578,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,597935,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,4586330,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,174963,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,440526,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,4418276,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,198280,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,154390,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,418790,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Transfer payments to other non-profit institutions,217377,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,193238,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,3576766,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,584550,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,300119,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,43962775,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,10334863,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,7890663,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,4929846,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,1177048,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,4138976,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,19508,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,9111189,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,15989115,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,125857440,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,76711445,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,48215569,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,31684809,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,214730219,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,781898,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,5670000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other subsidies to industry,986779,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other subsidies to industry,881945,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other subsidies to industry,396639,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other subsidies to industry,3213344,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other subsidies to industry,26552375,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other subsidies to industry,1825092,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other subsidies to industry,12461616,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other subsidies to industry,1349369,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other subsidies to industry,11330671,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other subsidies to industry,182567627,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other subsidies to industry,543194,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other subsidies to industry,257802,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other subsidies to industry,201196,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other subsidies to industry,404155,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other subsidies to industry,507704,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to persons,18228,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,1039990,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,1083470,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,948653,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,959142,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,162885,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,163173,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,391500,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,165000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,500000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,423688,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,147000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,1027975,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,390000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,250927,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,150000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,906480,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,100648,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,905825,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,380817,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,1715130,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,4110758,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,115000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,1519183,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,1028802,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,163625,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,172249,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,150000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to or behalf of international organizations and foreign countries,700000,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,61682043,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,4906080,,
Agriculture and Agri-Food,Agriculture and Agri-Food,Other transfer payments to provinces and territories,207286470,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,1405595,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,516013,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,178957,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,10084156,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,331525,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,585969,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,3002906,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,2156016,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,190284,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,166898,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,948952,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,509743,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,370937,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,533614,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,230057,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,127368,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,542020,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,137905,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,1334754,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,1190392,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,145681,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,564787,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,1307172,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,197704,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,525750,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,431355,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,295780,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,1027364,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,338652,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,106349,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,373966,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,633337,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,529756,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,192347,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,153774,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,299486,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,1100943,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,140457,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,717734,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,329962,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,1548502,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,5536997,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,1228609,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,3965715,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,134919,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,360574,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,914614,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,898000,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,316252,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,1127068,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,1140917,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,5605650,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,1050620,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,683359,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,13897374,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,203949,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,2436835,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,11953783,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,3092430,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,928964,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,2408390,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,1976835,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,113961,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,580160,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,734039,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,467757,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,190512,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,189980,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,142948,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,659437,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,837669,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,141101,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,242250,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,354315,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,431794,,
Foreign Affairs and International Trade,Canadian International Development Agency,Contributions for Partnership Programming,109039,,
